played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_id,artist_id,track_id,last_updated_datetime_utc
2025-09-28T12:08:22.737Z,2025-09-28,綠洲,LaLa Hsu,251946,https://open.spotify.com/track/5z2wFoVRqnuxYmauqrKxdP,https://i.scdn.co/image/ab67616d00001e0214d79b14e3bc23b42df49356,極限,09NndwUwDMT5BkOPREqQjl,3dI4Io8XE33J2o04ZwjR0Y,5z2wFoVRqnuxYmauqrKxdP,2025-09-30T07:00:08.748991
2025-09-28T11:59:41.651Z,2025-09-28,天佑我們,Candy Lo,207506,https://open.spotify.com/track/3t7KjAE1pDxArdnlEoTzYz,https://i.scdn.co/image/ab67616d00001e02d068ac9c93f9aaadc0ec404a,糖果航空,6WjTs1xx2yhwU2JvZBAUAo,51ZbCFgOspWvhBjd1DUYEV,3t7KjAE1pDxArdnlEoTzYz,2025-09-30T07:00:08.748995
2025-09-28T11:56:14.013Z,2025-09-28,算數,Candy Lo,209280,https://open.spotify.com/track/4yXRHvuP4bnuWyVO53k2bl,https://i.scdn.co/image/ab67616d00001e028f4ec7c5ef42d3e5fc88751e,Four Seasons In One Day,1yog3yoqtMMU8bFZEOJwH8,51ZbCFgOspWvhBjd1DUYEV,4yXRHvuP4bnuWyVO53k2bl,2025-09-30T07:00:08.748998
2025-09-28T11:52:44.964Z,2025-09-28,進退,Kolor,301252,https://open.spotify.com/track/7d65YiQRF1aS3w2REySjnU,https://i.scdn.co/image/ab67616d00001e02fe79d050af2e0f26a742a8c3,在荒無人煙之處,6CWGt8GtGThppLadxiVQWY,6Xy3W72s4bZ3aI5X6NTp3G,7d65YiQRF1aS3w2REySjnU,2025-09-30T07:00:08.749001
2025-09-28T11:47:42.054Z,2025-09-28,至少走得比你早 - 國語版,Candy Lo,178760,https://open.spotify.com/track/0JX505Z7bgtLo2rSVfv6X7,https://i.scdn.co/image/ab67616d00001e02009c407bc14812d5b21b83ab,賞味人間,0xO5c4f1yZlA5FyFPbpAcR,51ZbCFgOspWvhBjd1DUYEV,0JX505Z7bgtLo2rSVfv6X7,2025-09-30T07:00:08.749005
2025-09-28T11:44:42.952Z,2025-09-28,唱廣東歌,Namewee,218667,https://open.spotify.com/track/42wYrHsVR7hrWxENJZr4zY,https://i.scdn.co/image/ab67616d00001e02cb35c43cce5ada7525a1d0c3,亞洲通牒,7kVYrgUplYPmGQwPdveVVl,24jrxG0tKcwgAzsLuPzyMi,42wYrHsVR7hrWxENJZr4zY,2025-09-30T07:00:08.749008
2025-09-28T11:41:03.707Z,2025-09-28,哲學家,Candy Lo,274545,https://open.spotify.com/track/1wdPW3bn0ysQVdRhWET6XL,https://i.scdn.co/image/ab67616d00001e02fe3ad6302d7ffd5fae19e836,哲學家,3bI27pOCKevhTpBHTDPTdW,51ZbCFgOspWvhBjd1DUYEV,1wdPW3bn0ysQVdRhWET6XL,2025-09-30T07:00:08.749012
2025-09-28T11:36:28.765Z,2025-09-28,落地開花,Candy Lo,149000,https://open.spotify.com/track/3ViX9oPP2ZVG2DsweSf5qp,https://i.scdn.co/image/ab67616d00001e0230bddeacbba32a2d0155b814,花言巧語,3nhwZqoLDIe0WsAKgO16t6,51ZbCFgOspWvhBjd1DUYEV,3ViX9oPP2ZVG2DsweSf5qp,2025-09-30T07:00:08.749015
2025-09-28T11:33:59.111Z,2025-09-28,逆插玫瑰,Candy Lo,205000,https://open.spotify.com/track/75aSGKwk5qsG2ahSlFuZ37,https://i.scdn.co/image/ab67616d00001e0230bddeacbba32a2d0155b814,花言巧語,3nhwZqoLDIe0WsAKgO16t6,51ZbCFgOspWvhBjd1DUYEV,75aSGKwk5qsG2ahSlFuZ37,2025-09-30T07:00:08.749018
2025-09-28T11:30:34.525Z,2025-09-28,進退,Kolor,304800,https://open.spotify.com/track/64cakjBCHUEIcK16y2UWXb,https://i.scdn.co/image/ab67616d00001e0276cdc64b8eaec2276bcaf52e,進退,6nKpjMeBPS92Ixpzybaasr,6Xy3W72s4bZ3aI5X6NTp3G,64cakjBCHUEIcK16y2UWXb,2025-09-30T07:00:08.749022
2025-09-28T11:25:28.617Z,2025-09-28,深藍,Candy Lo,217800,https://open.spotify.com/track/7DdiiZ5EUcknp361V9yLQO,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,7DdiiZ5EUcknp361V9yLQO,2025-09-30T07:00:08.749025
2025-09-28T11:21:49.983Z,2025-09-28,喜歡戀愛,Candy Lo,217760,https://open.spotify.com/track/6MdW6YlF95hw9FWpIxTAOi,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,6MdW6YlF95hw9FWpIxTAOi,2025-09-30T07:00:08.749029
2025-09-28T11:18:16.060Z,2025-09-28,垃圾,Candy Lo,228493,https://open.spotify.com/track/4GbTgGizUjRxDIRJKe3r7a,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,4GbTgGizUjRxDIRJKe3r7a,2025-09-30T07:00:08.749032
2025-09-28T11:14:18.043Z,2025-09-28,三角誌,Candy Lo,212013,https://open.spotify.com/track/5q3EJfLTjEGlB4YjOjYbB9,https://i.scdn.co/image/ab67616d00001e02d068ac9c93f9aaadc0ec404a,糖果航空,6WjTs1xx2yhwU2JvZBAUAo,51ZbCFgOspWvhBjd1DUYEV,5q3EJfLTjEGlB4YjOjYbB9,2025-09-30T07:00:08.749035
